,horizontalDifference,trial
0,-9.161773681640625,vp1_114_Session3_d03_b03_19
1,-9.161773681640625,vp1_114_Session3_d03_b03_19
2,-9.161773681640625,vp1_114_Session3_d03_b03_19
0,6.914581298828125,vp1_115_Session3_d03_b03_20
1,6.914581298828125,vp1_115_Session3_d03_b03_20
2,6.914581298828125,vp1_115_Session3_d03_b03_20
0,-11.276123046875,vp1_116_Session3_d03_b03_21
1,-11.276123046875,vp1_116_Session3_d03_b03_21
2,-11.276123046875,vp1_116_Session3_d03_b03_21
0,25.219268798828125,vp1_117_Session3_d03_b03_22
1,25.219268798828125,vp1_117_Session3_d03_b03_22
2,25.219268798828125,vp1_117_Session3_d03_b03_22
0,-12.822601318359375,vp1_118_Session3_d03_b03_23
1,-12.822601318359375,vp1_118_Session3_d03_b03_23
2,-12.822601318359375,vp1_118_Session3_d03_b03_23
0,16.05975341796875,vp1_119_Session3_d03_b03_24
1,16.05975341796875,vp1_119_Session3_d03_b03_24
2,16.05975341796875,vp1_119_Session3_d03_b03_24
0,19.6512451171875,vp1_120_Session3_d03_b03_25
1,19.6512451171875,vp1_120_Session3_d03_b03_25
2,19.6512451171875,vp1_120_Session3_d03_b03_25
0,-12.093536376953125,vp1_121_Session3_d03_b03_26
1,-12.093536376953125,vp1_121_Session3_d03_b03_26
2,-12.093536376953125,vp1_121_Session3_d03_b03_26
0,-4.34765625,vp1_123_Session3_d03_b03_28
1,-4.34765625,vp1_123_Session3_d03_b03_28
2,-4.34765625,vp1_123_Session3_d03_b03_28
0,-3.860260009765625,vp1_124_Session3_d03_b03_29
1,-3.860260009765625,vp1_124_Session3_d03_b03_29
2,-3.860260009765625,vp1_124_Session3_d03_b03_29
0,12.155487060546875,vp1_125_Session3_d03_b03_30
1,12.155487060546875,vp1_125_Session3_d03_b03_30
2,12.155487060546875,vp1_125_Session3_d03_b03_30
0,11.005462646484375,vp1_126_Session3_d03_b03_31
1,11.005462646484375,vp1_126_Session3_d03_b03_31
